"Year","Month","ices_rect","species_name","derogated","weight_to_publish"
2025,"7","44E4","Corkwing","derogated","*"
2025,"7","44E4","Goldsinny","derogated","*"
2025,"7","45E3","Ballan","derogated","*"
2025,"7","45E3","Corkwing","derogated","*"
2025,"7","45E3","Goldsinny","derogated","*"
2025,"7","45E4","Ballan","derogated","*"
2025,"7","46E6","Ballan","derogated","*"
2025,"7","46E7","Ballan","derogated","*"
2025,"7","47E6","Ballan","derogated","0.53044"
2025,"7","47E7","Ballan","derogated","1.087817908"
2025,"7","48E8","Ballan","derogated","1.07342"
2025,"7","49E8","Ballan","derogated","2.4759"
2025,"7","49E9","Ballan","derogated","*"
2025,"7","50E8","Ballan","derogated","*"
2025,"8","41E4","Ballan","derogated","*"
2025,"8","41E4","Corkwing","derogated","*"
2025,"8","41E4","Goldsinny","derogated","*"
2025,"8","42E3","Ballan","derogated","*"
2025,"8","42E4","Ballan","derogated","2.21626"
2025,"8","42E4","Corkwing","derogated","1.35455"
2025,"8","42E4","Goldsinny","derogated","0.16815"
2025,"8","43E2","Ballan","derogated","1.07"
2025,"8","43E2","Corkwing","derogated","*"
2025,"8","43E3","Ballan","derogated","2.0396"
2025,"8","43E3","Corkwing","derogated","0.1781"
2025,"8","43E3","Goldsinny","derogated","0.03008"
2025,"8","43E4","Ballan","derogated","*"
2025,"8","43E4","Corkwing","derogated","*"
2025,"8","43E4","Goldsinny","derogated","*"
2025,"8","44E2","Ballan","derogated","*"
2025,"8","44E2","Corkwing","derogated","*"
2025,"8","44E2","Goldsinny","derogated","*"
2025,"8","44E3","Ballan","derogated","*"
2025,"8","44E3","Corkwing","derogated","*"
2025,"8","44E3","Goldsinny","derogated","*"
2025,"8","44E4","Ballan","derogated","*"
2025,"8","44E4","Corkwing","derogated","*"
2025,"8","45E3","Ballan","derogated","*"
2025,"8","45E3","Corkwing","derogated","*"
2025,"8","45E3","Goldsinny","derogated","*"
2025,"8","46E6","Ballan","derogated","*"
2025,"8","46E7","Ballan","derogated","*"
2025,"8","47E6","Ballan","derogated","*"
2025,"8","47E7","Ballan","derogated","1.008981659"
2025,"8","48E8","Ballan","derogated","*"
2025,"8","49E8","Ballan","derogated","0.89102"
2025,"8","49E9","Ballan","derogated","*"
2025,"9","41E4","Ballan","derogated","*"
2025,"9","41E4","Corkwing","derogated","*"
2025,"9","41E4","Goldsinny","derogated","*"
2025,"9","42E3","Ballan","derogated","*"
2025,"9","42E4","Ballan","derogated","0.6235"
2025,"9","42E4","Corkwing","derogated","*"
2025,"9","42E4","Goldsinny","derogated","*"
2025,"9","43E2","Ballan","derogated","0.7036"
2025,"9","43E2","Corkwing","derogated","0.21955"
2025,"9","43E2","Goldsinny","derogated","*"
2025,"9","43E3","Ballan","derogated","1.44196"
2025,"9","43E3","Corkwing","derogated","*"
2025,"9","43E3","Goldsinny","derogated","*"
2025,"9","44E2","Ballan","derogated","*"
2025,"9","44E2","Corkwing","derogated","*"
2025,"9","44E2","Goldsinny","derogated","*"
2025,"9","44E3","Ballan","derogated","*"
2025,"9","44E3","Corkwing","derogated","*"
2025,"9","44E3","Goldsinny","derogated","*"
2025,"9","45E3","Ballan","derogated","*"
2025,"9","45E3","Corkwing","derogated","*"
2025,"9","45E3","Goldsinny","derogated","*"
2025,"9","45E4","Ballan","derogated","*"
2025,"9","46E6","Ballan","derogated","*"
2025,"9","46E7","Ballan","derogated","*"
2025,"9","47E6","Ballan","derogated","0.46378"
2025,"9","47E7","Ballan","derogated","0.87776"
2025,"9","48E8","Ballan","derogated","*"
2025,"9","49E8","Ballan","derogated","0.3864"
2025,"10","43E2","Ballan","derogated","*"
2025,"10","43E2","Corkwing","derogated","*"
2025,"10","43E2","Goldsinny","derogated","*"
2025,"10","44E3","Ballan","derogated","*"
2025,"10","44E3","Corkwing","derogated","*"
2025,"10","44E3","Goldsinny","derogated","*"
2025,"10","48E8","Ballan","derogated","*"
2025,"10","49E8","Ballan","derogated","*"
